GEOID,avg_tmax_jun,avg_tmax_jul,avg_tmax_aug,avg_tmax_sep,avg_tmax_oct,avg_rhum_jun,avg_rhum_jul,avg_rhum_aug,avg_rhum_sep,avg_rhum_oct,avg_smoke_pm_jun,avg_smoke_pm_jul,avg_smoke_pm_aug,avg_smoke_pm_sep,avg_smoke_pm_oct,avg_wnd_jun,avg_wnd_jul,avg_wnd_aug,avg_wnd_sep,avg_wnd_oct,POPULATION_2020,POP20_SQMI,EP_POV150,EP_UNEMP,EP_UNINSUR,EP_AGE65,EP_AGE17,EP_LIMENG,EP_MINRTY,RPL_THEMES,E_NOINT
06001400100,24.039999707539877,23.92419353608162,26.94354715654927,27.18000183105469,25.720969907699093,78.09666659037272,84.36129047024635,77.33225779379568,71.41000035603841,55.30645179748535,0.0,0.13307633658417628,6.6702964179509845,25.239389695979842,5.944235359447694,4.231070027849818,4.095968239448269,3.591071548598317,2.121020592740569,2.6445179819589346,3038,1133.6,6.8,1.0,0.5,25.3,18.6,0.0,27.3,0.0255,320
06001400200,23.176667594909667,22.333869380335653,23.956451477543002,26.169998105367025,25.595162545481035,79.63999989827474,84.2000001476657,80.36774198470577,74.66666679382324,62.89999992616715,0.0,0.14501011948431702,6.921538322202622,25.341019780437158,6.179484044351886,4.2423241133273715,4.101665759371788,3.597702339973007,2.131955657340153,2.651596177259392,2001,8700.0,7.0,7.9,0.4,21.7,16.3,1.3,32.8,0.1978,30
06001400300,23.176667594909667,22.333869380335653,23.956451477543002,26.169998105367025,25.595162545481035,79.63999989827474,84.2000001476657,80.36774198470577,74.66666679382324,62.89999992616715,0.0,0.14501011948431702,6.921538322202622,25.341019780437158,6.179484044351886,4.245648484006576,4.103146518616789,3.5995760669652364,2.135711159058522,2.6534297825571,5504,12800.0,8.6,3.4,0.3,16.4,17.0,0.3,39.0,0.356,300
06001400400,23.176667594909667,22.333869380335653,23.956451477543002,26.169998105367025,25.595162545481035,79.63999989827474,84.2000001476657,80.36774198470577,74.66666679382324,62.89999992616715,0.0,0.14501011948431702,6.921538322202622,25.341019780437158,6.179484044351886,4.246487622297987,4.10468134404724,3.600537930433312,2.133737334986574,2.655337706595153,4112,14685.7,12.0,2.5,2.6,10.8,21.1,1.3,35.5,0.1596,72
06001400500,23.176667594909667,22.333869380335653,23.956451477543002,26.169998105367025,25.595162545481035,79.63999989827474,84.2000001476657,80.36774198470577,74.66666679382324,62.89999992616715,0.0,0.14501011948431702,6.921538322202622,25.341019780437158,6.179484044351886,4.25036291976831,4.107503368572091,3.603184667285728,2.135355831970763,2.6588402817684345,3644,15843.5,12.8,6.4,2.7,15.1,11.5,1.1,55.3,0.1312,207
06001400600,23.176667594909667,22.333869380335653,23.956451477543002,26.169998105367025,25.595162545481035,79.63999989827474,84.2000001476657,80.36774198470577,74.66666679382324,62.89999992616715,0.0,0.14501011948431702,6.921538322202622,25.341019780437158,6.179484044351886,4.2510991035862435,4.107245789576831,3.6033529803343955,2.137666869322055,2.6585131632344776,1788,14900.0,10.7,5.6,3.4,10.5,15.3,0.9,56.1,0.1253,118
06001400700,23.176667594909667,22.333869380335653,23.956451477543002,26.169998105367025,25.595162545481035,79.63999989827474,84.2000001476657,80.36774198470577,74.66666679382324,62.89999992616715,0.0,0.1447094442179647,6.921097033071947,25.343551747443424,6.176377351763922,4.255112538868373,4.1101049607191715,3.606068169675924,2.1395067290339287,2.6620589367455882,4508,13660.6,22.5,6.0,9.0,9.3,18.5,3.9,56.5,0.5041,373
06001400800,23.176667594909667,22.333869380335653,23.956451477543002,26.169998105367025,25.595162545481035,79.63999989827474,84.2000001476657,80.36774198470577,74.66666679382324,62.89999992616715,0.0,0.101849793527748,6.400633282768747,25.30012123986985,5.5135313091838505,4.260691994438984,4.114569984280184,3.610051707001873,2.14081779486481,2.667607175107388,3917,13989.3,14.5,3.9,4.8,10.3,16.4,3.1,50.3,0.3432,236
06001400900,23.176667594909667,22.333869380335653,23.956451477543002,26.169998105367025,25.595162545481035,79.63999989827474,84.2000001476657,80.36774198470577,74.66666679382324,62.89999992616715,0.0,0.09497615915192865,6.848105468455738,25.762352530188476,5.6625139071108235,4.2596884563492265,4.113131796356092,3.6090666044867055,2.1421953711848363,2.6658091936746233,2514,15712.5,14.2,5.1,6.9,7.1,16.2,6.8,65.7,0.3093,312
06001401000,23.610001945495604,22.653226975471743,24.314517174997636,26.50333455403646,25.617743645944902,78.28333333333333,82.82903215962071,82.11935498637538,76.76333389282226,71.81612962292087,0.0,0.09776958591328644,6.852205269819786,25.73882926377557,5.691376667655829,4.255920482384419,4.109435398006032,3.606088983765507,2.143032980888545,2.6612132193407354,6097,13856.8,14.2,6.5,6.1,8.3,12.7,4.0,64.7,0.3794,499
